Timepoint,Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteAvailSndBuf,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteAvailRcvBuf,byteRcvLoss,byteRcvDrop,mbpsRecvRate,msRcvTsbPdDelay,msRcvTsbPdDelay
10.02.2020 17:34:29.991983 +0000,141,115676651,25600,25600,3,100,12,1000,3,0,0,0,4080,1019019000,0,0.229895,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.002151 +0000,152,115676651,25600,25600,100,100,12,1000,97,0,0,0,131920,1019019000,0,103.721,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.012286 +0000,162,115676651,25600,25600,196,100,12,1000,96,0,0,0,130560,1019019000,0,103.057,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.022394 +0000,172,115676651,25600,25600,292,100,12,1000,96,0,0,0,130560,1018660500,0,103.322,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.032514 +0000,182,115676651,25600,25600,389,100,12,1000,97,0,0,0,131920,1018660500,0,104.295,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.042625 +0000,192,115676651,25600,25600,485,100,12,1000,96,0,0,0,130560,1018302000,0,103.291,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.052726 +0000,202,115676651,25600,25600,581,100,12,1000,96,0,0,0,130560,1018302000,0,103.404,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.062835 +0000,212,115676651,25598,25600,676,100,1.5,1000,96,0,0,0,130560,1018302000,0,103.312,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.072944 +0000,222,115676651,25503,25600,678,100,2.844,1000,97,0,0,0,131920,1018041000,0,104.408,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.083051 +0000,233,115676651,25402,25600,673,100,4.08,1000,96,0,0,0,130560,1018041000,0,103.332,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.093152 +0000,243,115676651,25307,25600,674,100,5.244,1000,96,0,0,0,130560,1018023000,0,103.414,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.103255 +0000,253,115676651,25208,25600,671,100,6.336,1000,96,0,0,0,130560,1018023000,0,103.373,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.113355 +0000,263,115676651,25112,25600,672,100,7.392,1000,97,0,0,0,131920,1018023000,0,104.501,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.123469 +0000,273,115676651,25015,25600,671,100,8.952,1000,96,0,0,0,130560,1018053000,0,103.301,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.133606 +0000,283,115676651,24919,25600,671,99.46,10.848,1000,96,0,0,0,130560,1018053000,0,103.036,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.143747 +0000,293,115676651,24822,25600,671,98.988,13.14,1000,97,0,0,0,131920,1018033500,0,104.048,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.153892 +0000,303,115676651,24725,25600,670,98.102,16.248,1000,96,0,0,0,130560,1018033500,0,102.965,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.164015 +0000,314,115676651,24628,25600,670,96.911,22.8,1000,97,0,0,0,131920,1018033500,0,104.243,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.174155 +0000,324,115676651,24531,25600,669,95.508,29.46,1000,96,0,0,0,130560,1018062000,0,103.026,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.184276 +0000,334,115676651,24441,25600,669,94.28,35.4,1000,97,0,0,0,131920,1018062000,0,104.264,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.194433 +0000,344,115676651,24441,25600,668,92.889,41.328,1000,96,0,0,0,130560,1018044000,0,102.834,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.204547 +0000,354,115676651,24440,25600,668,91.395,46.836,1000,97,0,0,0,131920,1018044000,0,104.336,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.214718 +0000,364,115676651,24441,25600,668,89.846,51.372,1000,97,0,0,0,131920,1018044000,0,103.772,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.224852 +0000,374,115676651,24442,25600,667,88.279,54.948,1000,96,0,0,0,130560,1018072500,0,103.067,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.234974 +0000,384,115676651,24441,25600,666,86.722,58.236,1000,97,0,0,0,131920,1018072500,0,104.264,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.245175 +0000,395,115676651,24440,25600,667,85.197,60.972,1000,97,0,0,0,131920,1018054500,0,103.457,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.255315 +0000,405,115676651,24440,25600,667,83.721,63.156,1000,96,0,0,0,130560,1018054500,0,103.108,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.265449 +0000,415,115676651,24442,25600,669,82.313,64.716,1000,97,0,0,0,131920,1018054500,0,104.028,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.275586 +0000,425,115676651,24440,25600,667,81.081,66.084,1000,96,0,0,0,130560,1018078500,0,103.047,10,0,0,0,0,0,0,38398500,0,0,0,120,0
10.02.2020 17:34:30.285718 +0000,435,115676651,24440,25600,668,79.892,67.248,1000,97,0,0,0,131920,1018078500,0,104.161,10,0,0,0,0,0,0,38398500,0,0,0,120,0
